UKHSA_region,specimen_date,n,percent,sgtf,total,conf_low,conf_high
East Midlands,01/11/2021,874,100,Cases with confirmed S-gene,874,99.45445426,100
East Midlands,02/11/2021,724,99.86,Cases with confirmed S-gene,725,99.10912023,99.99279956
East Midlands,02/11/2021,1,0.14,Cases with confirmed SGTF,725,0.007200441,0.890879771
East Midlands,03/11/2021,757,100,Cases with confirmed S-gene,757,99.37056652,100
East Midlands,04/11/2021,598,100,Cases with confirmed S-gene,598,99.20428884,100
East Midlands,05/11/2021,567,99.82,Cases with confirmed S-gene,568,98.86462153,99.99080915
East Midlands,05/11/2021,1,0.18,Cases with confirmed SGTF,568,0.009190851,1.135378469
East Midlands,06/11/2021,975,100,Cases with confirmed S-gene,975,99.51074296,100
East Midlands,07/11/2021,907,100,Cases with confirmed S-gene,907,99.47421858,100
East Midlands,08/11/2021,1578,99.75,Cases with confirmed S-gene,1582,99.30665901,99.91897278
East Midlands,08/11/2021,4,0.25,Cases with confirmed SGTF,1582,0.081027222,0.693340992
East Midlands,09/11/2021,1526,100,Cases with confirmed S-gene,1526,99.6869528,100
East Midlands,10/11/2021,1524,99.74,Cases with confirmed S-gene,1528,99.28222997,99.91610814
East Midlands,10/11/2021,4,0.26,Cases with confirmed SGTF,1528,0.083891865,0.717770034
East Midlands,11/11/2021,1531,99.93,Cases with confirmed S-gene,1532,99.57716189,99.99659259
East Midlands,11/11/2021,1,0.07,Cases with confirmed SGTF,1532,0.003407414,0.422838107
East Midlands,12/11/2021,1663,99.94,Cases with confirmed S-gene,1664,99.61062272,99.99686289
East Midlands,12/11/2021,1,0.06,Cases with confirmed SGTF,1664,0.003137108,0.389377283
East Midlands,13/11/2021,1207,100,Cases with confirmed S-gene,1207,99.60448243,100
East Midlands,14/11/2021,1233,99.84,Cases with confirmed S-gene,1235,99.34906939,99.97194503
East Midlands,14/11/2021,2,0.16,Cases with confirmed SGTF,1235,0.02805497,0.65093061
